20 43 110 1
24 45 110 1
23 44 111 1
19 42 109 1
19 42 109 1
25 46 113 1
29 47 113 1
22 45 112 1
16 57 137 1
14 53 132 1
15 54 133 1
16 59 137 1
2 8 40 1
2 8 40 1
2 8 42 1
2 8 40 1
2 8 42 1
126 118 159 1
112 106 144 1
123 115 150 1
127 120 164 1
123 114 156 1
110 103 145 1
120 113 147 1
113 107 151 1
103 96 137 1
133 45 59 2
133 42 57 2
125 37 49 2
132 40 53 2
128 36 51 2
127 35 50 2
130 38 53 2
132 40 55 2
98 26 46 2
102 30 50 2
104 32 52 2
99 32 50 2
101 34 52 2
101 32 51 2
98 29 47 2
97 28 46 2
96 12 25 2
161 51 36 2
161 52 32 2
96 12 24 2
166 57 37 2
158 51 33 2
97 13 26 2
98 12 23 2
130 60 71 2
132 62 72 2
135 65 75 2
131 61 74 2
133 65 76 2
37 2 8 2
33 2 7 2
36 4 7 2
34 4 6 2
34 3 8 2
32 2 0 2
34 3 1 2
33 3 5 2
180 82 86 2
179 83 84 2
180 77 80 2
178 75 76 2
184 83 87 2
166 55 64 2
162 59 68 2
166 62 71 2
160 59 67 2
168 63 68 2
163 54 60 2
163 121 47 3
164 125 50 3
164 125 50 3
164 124 54 3
170 132 61 3 
167 128 59 3
171 133 60 3
168 132 56 3
148 112 36 3
146 110 34 3
144 112 29 3
144 111 35 3
144 106 35 3
138 100 35 3
143 107 33 3
228 156 62 3
223 147 51 3
225 144 30 3
229 157 58 3
198 152 102 3
197 152 97 3
193 146 90 3
185 134 81 3
180 130 79 3
195 149 99 3
195 149 97 3
183 132 79 3
226 155 51 3
230 160 64 3
228 159 59 3
225 154 50 3
231 157 68 3
229 156 75 3
230 157 62 3
208 117 112 3
214 125 121 3
210 113 109 3
207 119 115 3
207 116 111 3
145 61 74 4
143 63 69 4
143 63 74 4
143 66 74 4
145 68 74 4
144 61 71 4
150 73 79 4
147 70 78 4
140 60 71 4
139 59 68 4
138 59 65 4
145 66 72 4
144 61 69 4
141 61 70 4
139 56 66 4
142 62 71 4
208 108 58 4
203 102 50 4
209 109 59 4
210 109 57 4
56 11 8 4
59 11 9 4
56 8 4 4
58 8 7 4
58 10 10 4
59 12 6 4
173 76 31 4
174 77 32 4
175 78 33 4
174 77 34 4
174 79 35 4
132 150 186 5
132 150 186 5
132 151 184 5
134 153 186 5
133 151 187 5
133 152 185 5
133 152 185 5
138 157 190 5
143 153 188 5
145 155 190 5
146 154 190 5
150 159 192 5
151 160 193 5
151 160 194 5
154 163 196 5
151 160 193 5
109 89 88 5
108 88 89 5
107 87 88 5
108 88 87 5
108 88 87 5
109 89 88 5
52 102 84 6
53 97 80 6
51 100 81 6
48 103 84 6
45 100 79 6
46 100 84 6
53 110 93 6
45 103 81 6
100 131 90 6
103 131 91 6
107 133 94 6
98 129 95 6
105 133 93 6
111 137 102 6
103 130 89 6
105 130 91 6
102 127 87 6
100 127 86 6
96 123 82 6
53 52 48 7
50 47 42 7
44 43 39 7
45 44 40 7
47 46 42 7
46 46 46 7
52 51 49 7
49 49 47 7
96 68 57 7
92 65 56 7
94 67 56 7
95 68 57 7
94 66 55 7
91 64 55 7
